Минитрактор SOLIS 130 с кондиционером 

Цена:  1 901 178 грн

Описание 
Современный трактор, сочетающий мощность, универсальность и комфорт. Оснащён 6‑цилиндровым дизельным двигателем с водяным охлаждением и прямым впрыском. Кабина с отоплением и кондиционером обеспечивает комфортную работу в любую погоду. Имеются пневмосиденье, магнитола, зарядное устройство и мощная световая система.
Характеристики 
Параметр	Значение
Двигатель	6‑цилиндровый, модель 6105IFLT
Мощность	130 л.с.
Коробка передач	24+24
Сцепление	Двухдисковое
Колёсная формула	4×4
Гидроусилитель руля	Да
Блокировка дифференциала	Да
ВОМ	540/1000 об/мин
Навеска	Трёхточечная, грузоподъёмность 4500 кг
Колея (передняя/задняя)	1760 мм / 1724 мм
База	2645 мм
Клиренс	435 мм
Шины	Передние 14.9‑24, задние 18.4‑34
Вес	4665 кг
Топливный бак	100 л
Гидросистема	2 насоса, 4 выхода
Дополнительно	Кабина с отоплением и кондиционером, пневмосиденье, магнитола, зарядка, освещение

